,age_group,travel_with,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,total_cost,IncomeGroup,total_visitors
954,45-64,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,10-15,0,Credit Card,No,23569650.0,High-income countries,2.0
955,65+,Alone,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0-5,0,Cash,Yes,6298500.0,High-income countries,1.0
956,65+,Spouse,Holiday,Wildlife,Friends,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,0-5,0,Cash,Yes,49890750.0,High-income countries,2.0
957,45-64,Friends/Relatives,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,10000000.0,Lower-middle-income countries,2.0
958,25-44,Spouse,Holiday,Beach,Agent,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0-5,1,Cash,Yes,7942655.0,High-income countries,2.0
959,25-44,Friends/Relatives,Holiday,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7+,1,Credit Card,Yes,6217964.2,High-income countries,2.0
960,25-44,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,1989000.0,High-income countries,1.0
961,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,663000.0,Lower-middle-income countries,1.0
962,`1-24,Friends/Relatives,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Credit Card,No,5690100.0,High-income countries,4.0
963,45-64,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,828750.0,High-income countries,1.0
964,45-64,Friends/Relatives,Holiday,Others,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7+,0,Cash,Yes,3978000.0,High-income countries,2.0
965,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,2154750.0,Lower-middle-income countries,1.0
966,25-44,Friends/Relatives,Holiday,Beach,Agent,Independent,Yes,No,No,No,No,No,No,0-5,1,Credit Card,No,2496263.0,High-income countries,2.0
967,`1-24,Alone,Holiday,Others,Agent,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,4226625.0,High-income countries,1.0
968,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,140000.0,Low-income countries,1.0
969,25-44,Alone,Others,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,497250.0,Lower-middle-income countries,1.0
970,25-44,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,244000.0,Low-income countries,2.0
971,`1-24,Friends/Relatives,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,2320500.0,High-income countries,2.0
972,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,1989000.0,Low-income countries,1.0
973,45-64,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,179322.0,Lower-middle-income countries,1.0
974,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,1243125.0,Upper-middle-income countries,1.0
975,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,157462.5,Lower-middle-income countries,1.0
976,25-44,Friends/Relatives,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,1989000.0,High-income countries,2.0
977,`1-24,Friends/Relatives,Holiday,Others,Friends,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,8287500.0,High-income countries,2.0
978,45-64,Spouse,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,24696750.0,High-income countries,2.0
979,25-44,Alone,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,No,No,Yes,No,10-15,0,Cash,Yes,3149250.0,High-income countries,1.0
980,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,No,No,7+,0,Cash,No,20635875.0,High-income countries,2.0
981,25-44,Spouse,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,100000.0,High-income countries,2.0
982,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,15497625.0,High-income countries,2.0
983,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,No,No,No,7+,0,Credit Card,Yes,18895500.0,High-income countries,2.0
984,45-64,Alone,Holiday,Wildlife,Others,Package Tour,No,Yes,Yes,No,No,No,Yes,7+,0,Cash,Yes,9282000.0,High-income countries,1.0
985,25-44,Alone,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,0,Cash,Yes,4558125.0,High-income countries,1.0
986,25-44,Spouse,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,1657500.0,High-income countries,2.0
987,45-64,Friends/Relatives,Holiday,Wildlife,Others,Independent,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,1,Cash,Yes,21050250.0,High-income countries,3.0
988,25-44,Friends/Relatives,Holiday,Wildlife,Others,Package Tour,No,Yes,Yes,No,Yes,Yes,No,7+,0,Credit Card,Yes,4143750.0,High-income countries,4.0
989,25-44,Alone,Holiday,Wildlife,Agent,Package Tour,No,No,Yes,No,Yes,Yes,No,10-15,0,Cash,Yes,3596775.0,High-income countries,1.0
990,45-64,Spouse,Holiday,Wildlife,Others,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,1,Cash,Yes,14088750.0,High-income countries,2.0
991,25-44,Alone,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Credit Card,No,580125.0,High-income countries,1.0
992,25-44,Friends/Relatives,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,No,16575000.0,Upper-middle-income countries,2.0
993,25-44,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,33895875.0,High-income countries,9.0
994,`1-24,Spouse,Holiday,Beach,Agent,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0-5,1,Cash,Yes,6132750.0,High-income countries,2.0
995,25-44,Alone,Holiday,Wildlife,Friends,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,0-5,0,Credit Card,Yes,3978000.0,High-income countries,1.0
996,45-64,Spouse,Holiday,Wildlife,Friends,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10-15,0,Cash,Yes,121500.0,High-income countries,2.0
997,65+,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,4060875.0,High-income countries,1.0
998,45-64,Alone,Holiday,Others,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,16773900.0,High-income countries,1.0
999,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0-5,0,Credit Card,Yes,17901000.0,High-income countries,2.0
1000,45-64,Spouse,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,0-5,0,Cash,Yes,10773750.0,High-income countries,2.0
1001,45-64,Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,No,No,Yes,Yes,7+,0,Cash,Yes,1002000.0,High-income countries,8.0
1002,45-64,Alone,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,0,Cash,No,21810040.0,High-income countries,2.0
1003,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,0,Credit Card,Yes,36796500.0,High-income countries,2.0
1004,25-44,Friends/Relatives,Others,Beach,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Cash,Yes,828750.0,Lower-middle-income countries,2.0
1005,25-44,Alone,Others,Wildlife,Agent,Package Tour,No,Yes,No,No,No,No,No,7+,0,Cash,Yes,7458750.0,Upper-middle-income countries,1.0
1006,25-44,Friends/Relatives,Holiday,Others,Others,Package Tour,No,Yes,Yes,No,Yes,Yes,No,7+,0,Credit Card,Yes,331500.0,High-income countries,2.0
1007,65+,Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,7+,0,Cash,Yes,18232500.0,High-income countries,2.0
1008,25-44,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,1491750.0,High-income countries,3.0
1009,25-44,Spouse,Holiday,Beach,Agent,Package Tour,Yes,Yes,Yes,No,No,No,No,0-5,1,Credit Card,Yes,19062372.0,High-income countries,2.0
1010,25-44,Spouse,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,4765593.0,High-income countries,2.0
1011,25-44,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,No,1657500.0,Low-income countries,1.0
1012,25-44,Friends/Relatives,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,4143750.0,Upper-middle-income countries,2.0
1013,25-44,Friends/Relatives,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,3315000.0,High-income countries,3.0
1014,45-64,Spouse,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,6807990.0,High-income countries,2.0
1015,45-64,Spouse and Children,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,8287500.0,High-income countries,3.0
1016,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,1000000.0,High-income countries,1.0
1017,45-64,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7+,0,Cash,Yes,7293000.0,High-income countries,4.0
1018,25-44,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,No,Yes,Yes,No,7+,0,Cash,Yes,9116250.0,High-income countries,4.0
1019,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,497250.0,High-income countries,1.0
1020,25-44,Alone,Others,Wildlife,Others,Package Tour,Yes,No,No,No,No,No,No,0-5,0,Cash,Yes,165750.0,Upper-middle-income countries,1.0
1021,45-64,Alone,Others,Wildlife,Others,Package Tour,Yes,Yes,No,No,No,No,No,0-5,0,Credit Card,Yes,142949.6,Upper-middle-income countries,1.0
1022,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,1657500.0,Upper-middle-income countries,1.0
1023,`1-24,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,3414450.0,Upper-middle-income countries,1.0
1024,45-64,Alone,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,0,Credit Card,Yes,4765312.5,High-income countries,1.0
1025,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,1000000.0,High-income countries,1.0
1026,25-44,Alone,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,3315000.0,Lower-middle-income countries,1.0
1027,45-64,Spouse and Children,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,6000000.0,High-income countries,3.0
1028,`1-24,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,4143750.0,High-income countries,1.0
1029,25-44,Alone,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Cash,No,82875.0,Lower-middle-income countries,1.0
1030,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,1,Cash,Yes,994500.0,High-income countries,2.0
1031,25-44,Friends/Relatives,Holiday,Others,Agent,Package Tour,No,Yes,No,Yes,Yes,Yes,No,7+,0,Cash,Yes,10856625.0,Lower-middle-income countries,2.0
1032,45-64,Spouse,Holiday,Others,Agent,Package Tour,No,Yes,Yes,Yes,Yes,No,No,7+,1,Cash,Yes,5801250.0,High-income countries,2.0
1033,25-44,Friends/Relatives,Holiday,Others,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,9945000.0,Upper-middle-income countries,6.0
1034,45-64,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,0,Cash,Yes,22376250.0,High-income countries,4.0
1035,25-44,Friends/Relatives,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,497250.0,High-income countries,3.0
1036,45-64,Children,Holiday,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,20884500.0,High-income countries,3.0
1037,25-44,Friends/Relatives,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,3315000.0,High-income countries,4.0
1038,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Credit Card,No,1657500.0,Upper-middle-income countries,1.0
1039,25-44,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,2486250.0,High-income countries,1.0
1040,25-44,Alone,Others,Others,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,Yes,2154750.0,Lower-middle-income countries,1.0
1041,45-64,Friends/Relatives,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,10-15,0,Cash,No,6630000.0,High-income countries,2.0
1042,45-64,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,No,32394685.75,High-income countries,15.0
1043,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,No,1657500.0,Upper-middle-income countries,1.0
1044,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,1,Cash,Yes,4475250.0,High-income countries,2.0
1045,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,0-5,1,Cash,Yes,14296779.0,High-income countries,2.0
1046,25-44,Alone,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,1361598.0,High-income countries,1.0
1047,`1-24,Alone,Holiday,Others,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,4538660.0,High-income countries,1.0
1048,45-64,Spouse,Holiday,Beach,Agent,Package Tour,Yes,Yes,Yes,No,No,No,No,0-5,1,Cash,Yes,12027449.0,High-income countries,2.0
1049,45-64,Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0-5,0,Credit Card,Yes,43426500.0,High-income countries,2.0
1050,65+,Alone,Holiday,Wildlife,Friends,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,18232500.0,High-income countries,1.0
1051,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,2403375.0,Lower-middle-income countries,1.0
1052,45-64,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Credit Card,No,1657500.0,Lower-middle-income countries,1.0
1053,65+,Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,25194000.0,High-income countries,3.0
1054,45-64,Alone,Others,Others,Others,Package Tour,Yes,Yes,Yes,No,Yes,No,No,10-15,0,Cash,No,7624500.0,Low-income countries,1.0
1055,25-44,Alone,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,No,Yes,7+,0,Cash,Yes,828750.0,High-income countries,1.0
1056,25-44,Alone,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,No,No,No,Yes,Yes,7+,0,Cash,Yes,565207.5,High-income countries,1.0
1057,25-44,Alone,Others,Others,Agent,Package Tour,Yes,No,Yes,No,No,No,No,7+,0,Cash,Yes,16906500.0,Upper-middle-income countries,1.0
1058,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,1,Cash,Yes,12935181.0,High-income countries,2.0
1059,`1-24,Friends/Relatives,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,6630000.0,Upper-middle-income countries,2.0
1060,25-44,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,1,Cash,Yes,9945000.0,High-income countries,2.0
1061,25-44,Alone,Others,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,No,No,No,10-15,0,Cash,Yes,3812250.0,Lower-middle-income countries,1.0
1062,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,3108982.1,High-income countries,1.0
1063,25-44,Friends/Relatives,Holiday,Wildlife,Friends,Package Tour,No,Yes,Yes,No,Yes,Yes,No,10-15,0,Cash,Yes,4972500.0,High-income countries,2.0
1064,`1-24,Friends/Relatives,Holiday,Wildlife,Friends,Package Tour,Yes,Yes,Yes,Yes,No,No,No,10-15,0,Cash,Yes,24313120.0,High-income countries,2.0
1065,25-44,Friends/Relatives,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,6876140.85,High-income countries,2.0
1066,25-44,Alone,Holiday,Others,Others,Independent,No,No,No,No,No,No,No,0-5,1,Cash,No,1600000.0,Upper-middle-income countries,1.0
1067,25-44,Spouse and Children,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,828750.0,High-income countries,3.0
1068,45-64,Alone,Holiday,Others,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,253400.0,High-income countries,1.0
1069,25-44,Alone,Others,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,569010.0,High-income countries,1.0
1070,`1-24,Friends/Relatives,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,233070.0,Upper-middle-income countries,2.0
1071,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,34807500.0,High-income countries,2.0
1072,25-44,Friends/Relatives,Holiday,Others,Agent,Package Tour,No,Yes,No,No,Yes,Yes,No,7+,0,Cash,Yes,13260000.0,High-income countries,3.0
1073,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,0,Cash,Yes,10773750.0,High-income countries,2.0
1074,25-44,Spouse and Children,Holiday,Others,Agent,Package Tour,No,Yes,Yes,No,Yes,No,No,7+,0,Credit Card,No,13591500.0,High-income countries,2.0
1075,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,0,Cash,Yes,34144500.0,High-income countries,2.0
1076,25-44,Alone,Holiday,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7+,1,Credit Card,No,8337225.0,High-income countries,1.0
1077,`1-24,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,1657500.0,High-income countries,1.0
1078,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,1160250.0,High-income countries,1.0
1079,25-44,Children,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,No,11380200.0,High-income countries,2.0
1080,25-44,Friends/Relatives,Holiday,Beach,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,1,Travellers Cheque,Yes,38805543.0,High-income countries,5.0
1081,25-44,Friends/Relatives,Holiday,Others,Agent,Package Tour,Yes,Yes,No,Yes,No,No,No,7+,1,Cash,Yes,6807990.0,High-income countries,7.0
1082,`1-24,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,650000.0,High-income countries,1.0
1083,25-44,Spouse,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,1707030.0,High-income countries,2.0
1084,25-44,Spouse and Children,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,2486250.0,High-income countries,3.0
1085,25-44,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,110485.0,High-income countries,1.0
1086,25-44,Friends/Relatives,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,Yes,248625.0,High-income countries,1.0
1087,45-64,Spouse,Holiday,Wildlife,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10-15,1,Cash,Yes,3315000.0,High-income countries,2.0
1088,45-64,Children,Holiday,Others,Agent,Package Tour,No,Yes,Yes,Yes,No,No,No,7+,0,Cash,Yes,16591575.0,High-income countries,2.0
1089,25-44,Alone,Others,Wildlife,Agent,Independent,No,No,No,No,No,No,No,0-5,0,Credit Card,No,1989000.0,Lower-middle-income countries,1.0
1090,25-44,Alone,Holiday,Others,Agent,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7+,0,Cash,Yes,9530625.0,High-income countries,1.0
1091,45-64,Alone,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,Yes,7458750.0,High-income countries,1.0
1092,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,0,Cash,Yes,27348750.0,High-income countries,2.0
1093,`1-24,Alone,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,4972500.0,High-income countries,1.0
1094,45-64,Alone,Holiday,Beach,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,217000.0,Low-income countries,1.0
1095,45-64,Alone,Others,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Credit Card,No,3177062.0,High-income countries,1.0
1096,`1-24,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,56901.0,High-income countries,1.0
1097,`1-24,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,56901.0,High-income countries,1.0
1098,45-64,Spouse and Children,Holiday,Wildlife,Agent,Independent,No,No,No,No,No,No,No,10-15,0,Credit Card,Yes,4972500.0,High-income countries,4.0
1099,25-44,Spouse and Children,Others,Others,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Credit Card,Yes,1087320.0,High-income countries,4.0
1100,45-64,Friends/Relatives,Holiday,Wildlife,Others,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,5690100.0,High-income countries,3.0
1101,45-64,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,10-15,1,Cash,No,11768250.0,High-income countries,4.0
1102,25-44,Alone,Others,Others,Friends,Independent,No,No,No,No,No,No,No,10-15,0,Cash,No,2486250.0,High-income countries,1.0
1103,25-44,Friends/Relatives,Holiday,Wildlife,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,4226625.0,High-income countries,2.0
1104,25-44,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,Yes,1000000.0,High-income countries,1.0
1105,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,23873351.6,High-income countries,2.0
1106,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10-15,1,Credit Card,Yes,680799.0,High-income countries,2.0
1107,45-64,Spouse and Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,20138625.0,High-income countries,3.0
1108,45-64,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,0,Cash,Yes,29835000.0,High-income countries,2.0
1109,25-44,Spouse,Holiday,Wildlife,Others,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0-5,1,Cash,Yes,7735552.5,High-income countries,2.0
1110,45-64,Alone,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,10-15,0,Cash,Yes,5304000.0,High-income countries,1.0
1111,65+,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,0,Cash,Yes,22542000.0,High-income countries,2.0
1112,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,Yes,39382250.0,High-income countries,2.0
1113,45-64,Alone,Holiday,Wildlife,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,0,Cash,Yes,320760.0,High-income countries,1.0
1114,45-64,Friends/Relatives,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,7+,0,Credit Card,Yes,3315000.0,High-income countries,2.0
1115,45-64,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,No,No,Yes,Yes,No,10-15,0,Cash,Yes,16989375.0,High-income countries,2.0
1116,25-44,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,1,Cash,No,900000.0,High-income countries,1.0
1117,45-64,Children,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,7+,1,Cash,Yes,7293000.0,High-income countries,3.0
1118,25-44,Spouse,Holiday,Wildlife,Agent,Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7+,1,Cash,Yes,4143750.0,High-income countries,2.0
1119,45-64,Alone,Others,Beach,Friends,Independent,No,No,No,No,No,No,No,7+,0,Cash,No,4538660.0,High-income countries,1.0
1120,25-44,Alone,Others,Others,Others,Independent,No,No,No,No,No,No,No,0-5,0,Cash,No,663000.0,Lower-middle-income countries,1.0
1121,25-44,Alone,Others,Others,Friends,Package Tour,Yes,Yes,Yes,Yes,No,No,No,10-15,0,Cash,Yes,2652000.0,Lower-middle-income countries,1.0
1122,`1-24,Friends/Relatives,Holiday,Beach,Friends,Independent,No,No,No,No,No,No,No,0-5,1,Cash,Yes,60000.0,High-income countries,2.0
1123,`1-24,Alone,Others,Others,Friends,Package Tour,No,Yes,Yes,Yes,No,No,No,7+,0,Cash,No,5411285.1,High-income countries,1.0
1124,`1-24,Friends/Relatives,Holiday,Beach,Agent,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,1657500.0,High-income countries,2.0
1125,`1-24,Alone,Holiday,Wildlife,Friends,Package Tour,No,Yes,Yes,Yes,No,No,Yes,10-15,1,Cash,Yes,2983500.0,High-income countries,1.0
1126,`1-24,Friends/Relatives,Holiday,Others,Others,Independent,No,No,No,No,No,No,No,7+,1,Cash,Yes,9945000.0,High-income countries,3.0
1127,45-64,Spouse,Holiday,Beach,Others,Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10-15,1,Cash,No,8287500.0,High-income countries,1.0
